plant_name,plant_id,unit_id,generator_id,unique_id,state,region,technology,heat_rate_mmbtu_per_mwh,capacity_mw,region_id,co2_short_ton_per_mwh
BPWhitingBusinessUnit,52130,3SPS34,32TG,52130-3SPS34-32TG,IN,PJM,GasSteam,7.3,10.0,MISO_LRZ6,0.4269665508
BPWhitingBusinessUnit,52130,3SPS34,33TG,52130-3SPS34-33TG,IN,PJM,GasSteam,7.3,18.8,MISO_LRZ6,0.4269665508
BPWhitingBusinessUnit,52130,3SPS34,34TG,52130-3SPS34-34TG,IN,PJM,GasSteam,7.3,10.0,MISO_LRZ6,0.4269665508
BPWhitingBusinessUnit,52130,3SPS34,31TG,52130-3SPS34-31TG,IN,PJM,GasSteam,7.3,10.0,MISO_LRZ6,0.4269665508
BPWhitingBusinessUnit,52130,3SPS34,35TG,52130-3SPS34-35TG,IN,PJM,GasSteam,7.3,30.0,MISO_LRZ6,0.4269665508
BPWhitingBusinessUnit,52130,3SPS36,34TG,52130-3SPS36-34TG,IN,PJM,GasSteam,7.3,10.0,MISO_LRZ6,0.4269665508
BPWhitingBusinessUnit,52130,3SPS36,33TG,52130-3SPS36-33TG,IN,PJM,GasSteam,7.3,18.8,MISO_LRZ6,0.4269665508
BPWhitingBusinessUnit,52130,3SPS36,32TG,52130-3SPS36-32TG,IN,PJM,GasSteam,7.3,10.0,MISO_LRZ6,0.4269665508
BPWhitingBusinessUnit,52130,3SPS36,35TG,52130-3SPS36-35TG,IN,PJM,GasSteam,7.3,30.0,MISO_LRZ6,0.4269665508
BPWhitingBusinessUnit,52130,3SPS36,31TG,52130-3SPS36-31TG,IN,PJM,GasSteam,7.3,10.0,MISO_LRZ6,0.4269665508
Merck&Company-WestPoint,52149,39,GEN2,52149-39-GEN2,PA,PJM,GasTurbine,12.05,33.2,PJM_PPL,0.7047872516
Merck&Company-WestPoint,52149,40,COG3,52149-40-COG3,PA,PJM,GasTurbine,14.19,38.4,PJM_PPL,0.8299527884
RiverbayCorp.-Co-OpCity,52168,4,GEN2,52168-4-GEN2,NY,NYISO,GasCombinedCycle,5.95,19.7,NYISO_I,0.3480069832
RiverbayCorp.-Co-OpCity,52168,4,GEN3,52168-4-GEN3,NY,NYISO,GasCombinedCycle,5.95,12.9,NYISO_I,0.3480069832
RiverbayCorp.-Co-OpCity,52168,6,GEN2,52168-6-GEN2,NY,NYISO,GasCombinedCycle,5.95,19.7,NYISO_I,0.3480069832
RiverbayCorp.-Co-OpCity,52168,6,GEN4,52168-6-GEN4,NY,NYISO,GasCombinedCycle,5.95,12.9,NYISO_I,0.3480069832
RiverbayCorp.-Co-OpCity,52168,0003HP,GEN2,52168-0003HP-GEN2,NY,NYISO,GasSteam,10.88,19.7,NYISO_I,0.6363556264
RiverbayCorp.-Co-OpCity,52168,HPB02,GEN2,52168-HPB02-GEN2,NY,NYISO,GasSteam,21.32,19.7,NYISO_I,1.246976283
C.R.WingCogenerationPlant,52176,1,GEN1,52176-1-GEN1,TX,MISO,GasTurbine,6.68,77.5,OTHER,0.3907036382
