
year,region_id,scenario_id,fuel,price_per_mmbtu
2026,PJM_PEPCO,REF,GAS,2.6664
2026,PJM_PEPCO,REF,COAL,2.2459
2026,PJM_PEPCO,REF,DISTILLATE,13.7401
2026,PJM_PEPCO,REF,RESIDUAL,9.2585
2026,PJM_PEPCO,REF,URANIUM,0.61
2026,PJM_PPL,REF,GAS,2.6664
2026,PJM_PPL,REF,COAL,2.2459
2026,PJM_PPL,REF,DISTILLATE,13.7401
2026,PJM_PPL,REF,RESIDUAL,9.2585
2026,PJM_PPL,REF,URANIUM,0.61
2026,PJM_PSEG,REF,GAS,2.6664
2026,PJM_PSEG,REF,COAL,2.2459
2026,PJM_PSEG,REF,DISTILLATE,13.7401
2026,PJM_PSEG,REF,RESIDUAL,9.2585
2026,PJM_PSEG,REF,URANIUM,0.61
2026,PJM_RECO,REF,GAS,2.6664
2026,PJM_RECO,REF,COAL,2.2459
2026,PJM_RECO,REF,DISTILLATE,13.7401
2026,PJM_RECO,REF,RESIDUAL,9.2585
2026,PJM_RECO,REF,URANIUM,0.61
2026,MISO_NORTH,REF,GAS,2.5144
2026,MISO_NORTH,REF,COAL,2.2459
2026,MISO_NORTH,REF,DISTILLATE,13.7401
2026,MISO_NORTH,REF,RESIDUAL,9.2585
2026,MISO_NORTH,REF,URANIUM,0.61
2026,MISO_SOUTH,REF,GAS,2.5144
2026,MISO_SOUTH,REF,COAL,2.2459
2026,MISO_SOUTH,REF,DISTILLATE,13.7401
2026,MISO_SOUTH,REF,RESIDUAL,9.2585
2026,MISO_SOUTH,REF,URANIUM,0.61
2026,MISO_LRZ1,REF,GAS,2.5144
2026,MISO_LRZ1,REF,COAL,2.2459
2026,MISO_LRZ1,REF,DISTILLATE,13.7401
